date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:17	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2000:35:33%20GMT	https://www.senbokuhome.co.jp/files/News/158/rel3_link_image/package.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/158/rel3_link_image/package.jpg	(from https://www.senbokuhome.co.jp/news/detail/158)
13:47:17	213414/213414	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2008:54:43%20GMT	https://www.senbokuhome.co.jp/files/News/157/para1_file/news-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/para1_file/news-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:18	301553/301553	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2000:11:21%20GMT	https://www.senbokuhome.co.jp/files/News/157/para2_file/news-2-5-5.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/para2_file/news-2-5-5.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:18	208692/208692	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202019%2000:11:21%20GMT	https://www.senbokuhome.co.jp/files/News/157/para3_file/news-2-2-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/para3_file/news-2-2-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:18	350034/350034	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2007:12:30%20GMT	https://www.senbokuhome.co.jp/files/News/157/para4_file/news-4.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/para4_file/news-4.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:18	352117/352117	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2008:47:14%20GMT	https://www.senbokuhome.co.jp/files/News/157/para5_file/news-5-3-6.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/para5_file/news-5-3-6.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:19	279883/279883	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2007:44:53%20GMT	https://www.senbokuhome.co.jp/files/News/157/rel1_link_image/1-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/rel1_link_image/1-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:19	59576/59576	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2008:51:05%20GMT	https://www.senbokuhome.co.jp/files/News/157/rel2_link_image/document_request_premium.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/rel2_link_image/document_request_premium.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:19	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202019%2008:52:26%20GMT	https://www.senbokuhome.co.jp/files/News/157/rel3_link_image/package.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/157/rel3_link_image/package.jpg	(from https://www.senbokuhome.co.jp/news/detail/157)
13:47:20	106605/106605	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20May%202020%2003:55:01%20GMT	https://www.senbokuhome.co.jp/files/News/156/para1_file/news-2.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/156/para1_file/news-2.jpg	(from https://www.senbokuhome.co.jp/news/detail/156)
13:47:20	105991/105991	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2007:53:17%20GMT	https://www.senbokuhome.co.jp/files/News/156/para2_file/smile1555.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/156/para2_file/smile1555.jpg	(from https://www.senbokuhome.co.jp/news/detail/156)
13:47:20	58150/58150	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2008:02:38%20GMT	https://www.senbokuhome.co.jp/files/News/156/rel1_link_image/document_request_smile.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/156/rel1_link_image/document_request_smile.jpg	(from https://www.senbokuhome.co.jp/news/detail/156)
13:47:20	37694/37694	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2008:02:38%20GMT	https://www.senbokuhome.co.jp/files/News/156/rel2_link_image/package-1.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/156/rel2_link_image/package-1.jpg	(from https://www.senbokuhome.co.jp/news/detail/156)
13:47:21	85130/85130	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2007:53:17%20GMT	https://www.senbokuhome.co.jp/files/News/156/rel3_link_image/Visitors_Book.jpg	C:/My%20Web%20Sites/copysite_fame_kensetsu/www.senbokuhome.co.jp/files/News/156/rel3_link_image/Visitors_Book.jpg	(from https://www.senbokuhome.co.jp/news/detail/156)
